resp_ind,industry,product_id,channel,reason_id
0,Community Work,OCHC40413,SEMG,1
0,Community Work,OCHC40413,SKLM,1
0,Business and Accounting,OFNS40611,SKLM,1
0,Business and Accounting,SLBSB51915,EDM,1
0,Business and Accounting,BA-BUSMGT4,SEO,1
0,Property,KACTLP,SEO,1
0,Construction,OCPC50210,SEMG,1
0,Community Work,OCHC50612,DSPP,1
0,Community Work,BASSXIV,SEMG,1
0,Community Work,BACST1DEFH,SEO,1
0,Logistics,S462S,DIRECT,1
0,Design,DGDFT,SEO,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Education,OCHC50113,SEO,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,SEO,1
0,Admin,OBSB50415,SEO,1
0,Community Work (Medical),OCHC30212,SEO,1
0,IT,SSGB,SEMG,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Business and Accounting,OFNS40211,SKLM,1
0,Community (Medical),OBSB31115,SKNV,1
0,Education (Strategic TESOL),TC4,SKLM,1
0,Finance,DFSFP4-1,SKLM,1
0,IT,OBSB51413,SEO,1
0,Counselling,BA-SSPSY6,SEO,1
0,Community Work,OCHC50612,SEMG,1
0,Not assigned,#,SKLM,1
0,Counselling,DOCO,SEMG,1
0,Work Health Safety (Property),OBSB41412,SEO,1
0,Arts (Arts team),CDPPTDEU,SKLM,1
0,IT,SBCNE,SEO,1
0,IT,CERPSCM,SEO,1
0,Counselling,DOCO,SKNV,1
0,Education (Strategic TESOL),TPD,SEMG,1
0,Community Work,OCHC50413,SEO,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,NON-CORE,1
0,Education,OCHC30213,SEO,1
0,Construction,OCPC50210,SKLM,1
0,Community Work,OCHC50612,SEMG,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,SEMB,1
0,Education,GD-TEAPRI2,DIRECT,1
1,Education,OCHC30113,SEMG,1
0,Community (Medical),OHLT52012,DIRECT,1
0,IT,S326S,SEO,1
0,Community (Medical),OBSB31115,SEMG,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,DIRECT,1
0,Design,DGDFT,SKLM,1
0,Education (Strategic TESOL),TAC,SEO,1
0,Counselling,DOCO,SEMG,1
0,Community Work,OCHC40413,SEO,1
0,Natural Health,DBTRFTPY,SKLM,1
0,Business (Strategic HR),CERTIVFMB,SEO,1
0,Counselling,DOCO,NON-CORE,1
0,Education,OCHC30113,SEO,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,SKLM,1
0,Natural Health,C4MAFTBN,SEMG,1
0,Community Work,OCHC50413,SEO,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Admin,OBSB40515,SKLM,1
0,Community (Medical),OBSB31115,SKLM,1
0,Marketing,OBSB51215,SEO,1
0,Not assigned,#,DIRECT,1
0,IT,CERPSCM,SKLM,1
0,Work Health Safety (Property),OBSB41412,SKLM,1
0,Work Health Safety (Property),OBSB51312,SKNV,1
0,Events & Hospitality (Strategic TESOL),OSIT50112,SEO,1
0,Not assigned,#,SEMG,1
0,Arts,JDGD,SKLM,1
0,Construction,OCPP50911,SEO,1
0,Events+Hospitality,OSIT30713,SKNV,1
0,Business (Property),OAHC50110,SEMG,1
0,Not assigned,#,SEO,1
0,Arts,JDSW,SKLM,1
0,HR,OBSB40812,DIRECT,1
0,Community Work,OCHC50413,SEO,1
0,IT,CAPM,SKLM,1
0,Education (Strategic TESOL),TPC,SKLM,1
0,IT,PMP,SEO,1
0,Finance,CERTIVCM,SEO,1
0,Community Work,OCHC40512,SEMG,1
0,Not assigned,#,DIRECT,1
0,Counselling,GDC,SKLM,1
0,Natural Health,DMAFT,EDM,1
0,Community Work,BASSXIV,EDM,1
0,Community Work (Medical),OCHC30312,SKLM,1
0,Community Work,OCHC50612,SEMG,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Not assigned,#,SKNV,1
1,IT,PMPKG,SEO,1
0,Community Work,OCHC40512,DIRECT,1
1,Marketing,OBSB51215,SEO,1
0,Admin,SLBSB50415,SKNV,1
0,IT,CEH,NON-CORE,1
0,Business (Property),OAHC50710,SKNV,1
0,Admin,BA-BUSBAD3,SKNV,1
0,IT,CCDA,SKLM,1
0,Construction,OCPC50210,SEO,1
0,Counselling,BCOUNS,SEO,1
0,Construction,OCPP50911,DSPP,1
0,Business and Accounting,OBSB40407,DIRECT,1
0,Business and Accounting,OBSB40407,SEO,1
0,Business and Accounting,SLBSB51915,SEO,1
0,Events+Hospitality,WB11BABEM01FNSU,SEO,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,SKNV,1
0,Counselling,DOCO,EDM,1
0,Not assigned,#,SKLM,1
0,Education,OCHC30113,SEO,1
0,Events+Hospitality,WB11VDIH1FDEU,SKNV,1
0,Business and Accounting,BA-BUSMGT4,SEO,1
0,Work Health Safety (Property),OBSB41412,SKLM,1
0,Community (Medical),OBSB30412-OBSB31112,SKNV,1
0,Counselling,BA-SSPSY6,DSPP,1
0,Community (Medical),OBSB31115,SKLM,1
0,Not assigned,#,SKLM,1
0,Construction,OCPC50210,SKLM,1
0,Construction,OCPC40110,SK_OTHER,1
0,Community Work,OCHC40413,SEMG,1
0,Business and Accounting,OBSB40212,SKNV,1
0,Work Health Safety (Property),OBSB41412,SEMG,1
0,Not assigned,#,SEMG,1
0,Community (Medical),OHLT52012,DIRECT,1
0,Not assigned,#,DIRECT,1
0,Logistics,S461S,SKLM,1
0,Community (Medical),OBSB31115,DIRECT,1
0,Finance,DFSFP4-1,SEO,1
1,Natural Health,#,DIRECT,1
0,Community Work,OCHC50413,SEO,1
0,Work Health Safety (Property),OBSB41412,SKNV,1
0,Property,OCPP50307,SEMB,1
0,Construction,OCPC40110,SEMG,1
0,Community Work (Medical),OCHC30212,SKLM,1
0,Education,OCHC30113,SEMG,1
0,Admin,SLBSB51215,SEMG,1
0,Community Work,BACST1DEFH,DIRECT,1
0,Natural Health,BHSNMPTU,SEMG,1
0,Construction,OCPC50210,DIRECT,1
0,Admin,OBSB30415,SKNV,1
0,IT,OICA50511-DA-OICA50811-DA,SEO,1
0,Finance,KFNS41512U,SEMG,1
0,Admin,OBSB31015,DIRECT,1
0,Business (Property),OAHC30110,SKNV,1
0,Natural Health,C4MAFT,SEO,1
0,Not assigned,#,SKLM,1
0,Construction,OCPC50210,SKLM,1
0,Community Work,OCHC40413,SEMG,1
0,Community (Medical),OHLT52012,SKNV,1
0,Community Work,OCHC50612,SEO,1
0,Education,BA-EDUPRI,SEO,1
0,Education (Strategic HR),OTAE40110,SKLM,1
0,IT,CEH,DIRECT,1
0,Community Work,OCHC50413,SEO,1
0,Business and Accounting,OFNS40211,SKLM,1
0,Education,BA-EDUPRI,SEO,1
0,Business (Strategic HR),CERTIVFMB,SKNV,1
0,Construction,OCPP50911,SEMG,1
0,Logistics,S463S,SKLM,1
0,Education,OCHC30213,SEO,1
0,TESOL,A326S,SEO,1
0,Community (Medical),OHLT31812,NON-CORE,1
0,HR,OBSB51915-DP-OBSB50615-DP,SEMG,1
0,Not assigned,#,SEO,1
0,Community Work,OCHC40708,SEO,1
0,Business and Accounting,OFNS40611,SEO,1
0,Community (Medical),OBSB31115,SEMG,1
0,Design,DGDFT,DIRECT,1
0,Counselling,MACAPPTFH11,EDM,1
0,Education,OCHC30113,SEMG,1
0,Business and Accounting,OHLT32512,SEMG,1
0,Events+Hospitality,WB11ADBTM01FNSU,SKLM,1
0,Admin,SLBSB50415,SEMG,1
0,Business and Accounting,OFNS40211,SEO,1
0,Business (Property),OAHC30710,SKLM,1
0,Community (Medical),OHLT31812,SKNV,1
0,Education (Strategic TESOL),TPD,SKLM,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,SEO,1
0,Business (Property),OAHC50110,SEMG,1
0,Fitness,DISDDEPTU,SKNV,1
0,Business (Property),OAHC31410,SEO,1
0,Education,OCHC30113,SEO,1
0,Community Work,OCHC40708,EDM,1
0,Community Work,OCHC40512,SEMG,1
0,IT,CERPAP,DIRECT,1
0,Admin,SLBSB50415,SEMG,1
0,Business and Accounting,OSIR30212,SEMG,1
0,Arts,JDGD,SEO,1
0,Finance,DFSFP4-1,SEO,1
0,HR,OBSB51915-DP-OBSB50615-DP,SEMG,1
0,Not assigned,#,SKLM,1
0,Community Work,OCHC40512,SEMG,1
0,Education,OCHC30213,SEMG,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,SEMG,1
0,Community Work,OCHC50612,SEO,1
1,Counselling,BCOUNS,SEO,1
0,Community (Medical),OHLT31812,SEO,1
0,Design,DGDFT,DSPP,1
0,Business and Accounting,OBSB40407,SEO,1
0,Admin,SLBSB50415,SKLM,1
0,IT,MCPIDWMSS12,DIRECT,1
0,Education (Strategic HR),OTAE40110,SEMG,1
0,Community Work (Medical),OCHC30212,SEO,1
0,TESOL,A300S,DSPP,1
0,Counselling,DOCO,NON-CORE,1
1,Admin,OBSB40515,SEMG,1
0,Construction,OCPC40110,SKLM,1
0,IT,CCNAV,SKNV,1
0,Property,OCPP40307,DIRECT,1
0,Natural Health,C4MAFTBN,SEO,1
0,IT,P2F10,DIRECT,1
0,Education (Strategic TESOL),TPD,DSPP,1
0,Business and Accounting,OBSB51915,SKLM,1
0,Construction,OCPC50210,SEMG,1
0,IT,MCTSSQLI,SEO,1
0,Community Work,OCHC50612,SEO,1
0,Property,KVICLP,SEMG,1
0,Property,KNSWCR,SEO,1
0,Not assigned,#,DIRECT,1
0,IT,CERPPLM,SEO,1
0,Business and Accounting,OSIR30212,SEMB,1
0,Not assigned,#,DIRECT,1
0,Admin,OBSB20115,SEMG,1
0,Property,OCPP40307,SEO,1
0,Community Work (Medical),OCHC30312,SEO,1
0,Counselling,DOCO,SEO,1
0,Natural Health,DBTRFTBN,SEO,1
0,Community Work (Medical),OCHC30212,SKNV,1
0,Community (Medical),OHLT31812,SEO,1
0,Natural Health,ADNMFT,SEMG,1
0,Not assigned,#,SEMG,1
0,Property,OCPP40307,SEMG,1
0,Community Work,OCHC40413,SEMG,1
0,Education,OCHC30213,SKLM,1
0,Community (Medical),OHLT31812,SKLM,1
0,Admin,OBSB30415,SKLM,1
0,Education (Strategic TESOL),TAC,SEO,1
0,Law (Community),BA-SSCCRI,SEMG,1
0,Community (Medical),OHLT32912,SEO,1
0,Not assigned,#,SKNV,1
0,Business and Accounting,OBSB40407,SEO,1
0,Education,OCHC30213,SKLM,1
